Vulnerability Type,Description,Severity,Exploitability
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,High
Session Management,Session fixation vulnerability found in login mechanism.,Critical,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Low
Access Control,Unauthorized users could access privileged actions.,Low,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,Low
Access Control,Bypassed access control to access restricted admin resources.,Low,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Medium
Access Control,Exploited weak access control rules in API endpoints.,High,Critical
Reconnaissance,Found outdated software versions during recon phase.,Critical,Low
Access Control,Bypassed access control to access restricted admin resources.,High,Low
Password Security,Weak password policy allowing easily guessable passwords.,High,High
Session Management,Session did not expire properly after logout.,Critical,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Low
XSS Testing,Injected script that executed on multiple user sessions.,Low,Medium
Reconnaissance,Detected subdomains hosting vulnerable services.,Low,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Low,High
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Critical
XSS Testing,Injected script that executed on multiple user sessions.,Low,Medium
Input Field Testing,Bypassed client-side validation using web proxies.,High,Critical
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Medium
XSS Testing,Injected script that executed on multiple user sessions.,High,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Low,Critical
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,High,Low
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,Medium,Low
XSS Testing,Injected script that executed on multiple user sessions.,Critical,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Critical,Medium
Access Control,Bypassed access control to access restricted admin resources.,Critical,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Medium
XSS Testing,Injected script that executed on multiple user sessions.,Medium,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,High
Static Code Analysis,Improper input validation leading to potential code injection.,High,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,Low
Session Management,Session did not expire properly after logout.,High,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
Password Security,Passwords stored using weak hashing algorithm.,Medium,High
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,Critical
Access Control,Exploited weak access control rules in API endpoints.,Critical,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Low,Critical
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Medium
Password Security,Passwords stored using weak hashing algorithm.,Critical,Low
Automated Scanning,Found insecure HTTP methods enabled.,High,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,Low
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Medium,Low
Automated Scanning,Found insecure HTTP methods enabled.,Medium,High
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Low
Access Control,Exploited weak access control rules in API endpoints.,Medium,Low
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Low,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Critical
Access Control,Unauthorized users could access privileged actions.,Low,High
Database Vulnerabilities,Discovered exposed database query logs.,High,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,Medium
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Low
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,High
Session Management,Reused session ID for unauthorized access.,High,Medium
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Low,Medium
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,Low
Password Security,Passwords stored using weak hashing algorithm.,High,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Low
Session Management,Session did not expire properly after logout.,Critical,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,Low
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Critical,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Medium
XSS Testing,Injected script that executed on multiple user sessions.,Low,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,High
